Rank,Name,Pod,Points,W/L/D,OMW%,GW%,OGW%
1,Doménique K,1,9,03/01/00,62.50%,63.60%,56.70%
2,Nico Kugler,2,9,03/01/00,58.30%,60.00%,54.50%
3,Dave .,2,9,03/01/00,52.80%,66.70%,51.90%
4,davide santodonato,1,9,03/01/00,52.80%,66.70%,51.80%
5,Michael Künzli,1,9,03/01/00,41.70%,63.60%,47.10%
6,Patrick Roth,2,6,02/02/00,68.80%,54.50%,60.10%
7,Domä Schmidhalter,2,6,02/02/00,64.60%,45.50%,56.80%
8,Julian Raupp,2,6,02/02/00,52.80%,50.00%,50.40%
9,Urs Handschin,1,6,02/02/00,41.70%,50.00%,47.00%
10,João Damas,1,4,01/02/01,58.30%,50.00%,54.50%
11,Lennox Schafroth,2,4,01/02/01,47.90%,37.50%,52.40%
12,Arnaud H.,1,3,01/02/00,47.20%,42.90%,44.80%
13,Thomas Schafroth,2,0,0/4/0,52.10%,33.30%,49.60%
