Rank,Name,Pod,Points,W/L/D,OMW%,GW%,OGW%
1,Urs Handschin,1,12,4/0/0,62.4%,100.0%,62.1%
2,Doménique K,2,9,3/1/0,64.5%,75.0%,56.9%
3,Julian Raupp,2,9,3/1/0,62.5%,54.5%,65.5%
4,Michael Künzli,2,9,3/1/0,58.3%,66.7%,58.3%
5,Thomas Schafroth,1,9,3/1/0,47.8%,77.8%,40.2%
6,Domä Schmidhalter,1,6,2/1/0,66.7%,66.7%,66.7%
7,rayaan aust,2,6,2/2/0,62.5%,40.0%,64.3%
8,florian vetter,2,6,2/2/0,58.3%,50.0%,57.1%
9,Arnaud H.,1,6,2/2/0,52.0%,54.5%,47.0%
10,Marco Kälin,2,6,2/2/0,52.0%,50.0%,51.1%
11,Nico Kugler,2,6,2/2/0,47.8%,54.5%,41.9%
12,Lennox Schafroth,2,6,2/2/0,45.7%,50.0%,44.9%
13,Sander Aust,2,3,1/3/0,66.7%,40.0%,68.2%
14,Debora Aust,1,3,1/3/0,66.7%,33.3%,66.3%
15,davide santodonato,1,3,1/1/0,49.8%,50.0%,49.8%
16,Dave .,1,0,0/2/0,62.5%,33.0%,62.5%
17,Ruth Neumann,1,0,0/4/0,56.3%,33.0%,58.1%
