Rank,Name,Pod,Points,W/L/D,OMW%,GW%,OGW%
1,Nico Kugler,2,12,4/0/0,58.30%,100.00%,53.50%
2,Urs Handschin,1,9,03/01/00,62.50%,66.70%,61.50%
3,Doménique K,2,9,03/01/00,58.30%,66.70%,59.70%
4,Michael Künzli,2,9,03/01/00,41.70%,54.50%,44.20%
5,Thomas Schafroth,1,6,02/02/00,68.80%,44.40%,68.10%
6,Domä Schmidhalter,1,6,02/01/00,66.70%,57.10%,57.10%
7,rayaan aust,1,6,02/02/00,52.10%,55.60%,48.90%
8,Lennox Schafroth,2,6,02/02/00,47.90%,44.40%,47.20%
9,Patrick Roth,1,6,02/02/00,45.80%,50.00%,42.80%
10,João Damas,1,4,01/02/01,54.20%,50.00%,48.60%
11,Debora Aust,2,4,01/02/01,37.50%,40.00%,43.80%
12,davide santodonato,2,3,01/03/00,64.60%,36.40%,61.10%
13,Sander Aust,2,3,01/03/00,38.90%,33.30%,44.80%
14,Marco Kälin,1,0,0/4/0,62.50%,33.30%,53.90%
